4x,bicubic,nbsrf,nbsrf(retreinado),realesrgan,realesrgan(retreinado),realsr,srcnn,waifu2x
amy1C.png,"38,6692","30,2144","38,022","36,1965","33,4496","35,8939","38,2317","37,8217"
amy1E.png,"38,6055","30,1522","37,7337","36,5141","34,9956","35,6186","37,8004","37,3578"
autumnC.png,"25,5343","24,5931","25,6625","25,2236","23,6451","24,3946","25,7473","25,7676"
autumnE.png,"28,9414","27,9557","29,128","27,3922","26,124","27,0557","28,9996","29,2463"
bcon1C.png,"26,3353","24,8149","26,4815","25,3395","24,7384","25,4749","26,5912","26,0095"
bcon1E.png,"26,5803","25,0413","26,5289","24,8842","24,5188","24,8524","26,6568","25,8977"
bcon2C.png,"29,7847","26,673","30,0123","29,0864","28,0712","29,0942","30,2678","29,5119"
bcon3C.png,"31,6661","26,9835","31,472","30,6749","29,1996","30,5852","31,7066","31,117"
bcon3E.png,"28,7927","25,9358","28,5719","27,5421","26,7143","27,4063","28,7619","28,1205"
bcon4C.png,"27,125","25,8294","27,4018","26,057","25,05","26,2827","27,3934","26,8828"
bcon5C.png,"31,4607","28,9307","31,6905","30,4337","29,7814","30,0602","31,6654","31,03"
bcon6C.png,"29,396","27,5649","29,8343","29,0633","28,0809","29,0774","29,8271","29,6385"
blendermanE.png,"27,4306","25,3908","26,7411","25,071","26,9185","25,8212","26,7649","26,8302"
bmw2C.png,"32,8606","29,3677","33,0595","32,289","31,868","32,3726","33,1102","33,1387"
bmw2E.png,"35,1249","29,6538","35,3368","35,0419","34,5503","33,9583","35,3847","35,5958"
bmw3C.png,"36,3646","31,2204","36,3508","33,8394","33,4959","34,7585","36,3062","36,0634"
bmw3E.png,"29,1651","26,9217","29,1022","28,5067","28,6068","28,7863","29,2","29,1445"
bmwE.png,"27,1776","25,6731","27,1738","26,545","26,8409","27,023","27,326","27,3049"
boats1C.png,"27,0637","25,928","27,0087","25,7384","23,5005","25,8658","27,0114","26,5462"
boats1E.png,"20,1439","19,6111","19,8156","19,9581","19,1866","19,1446","19,7682","19,7687"
boats2C.png,"28,4662","26,9234","28,2455","27,5024","25,55","27,3198","28,2351","27,7994"
boats2E.png,"23,94","23,1738","23,5589","23,4568","22,1001","22,2515","23,5408","23,4278"
car2C.png,"32,9252","29,7994","33,431","31,6952","28,887","30,6418","33,4218","32,2024"
car2E.png,"30,8115","28,4974","30,4172","29,7214","28,1463","28,9604","30,5692","30,0161"
carE.png,"30,1876","28,6211","30,3405","28,2238","26,6807","27,7803","30,279","30,3781"
city1C.png,"25,617","24,7744","25,7449","24,6571","24,3149","24,499","25,7654","25,1546"
city1E.png,"27,1972","26,1783","26,8752","26,3135","26,6447","24,9722","26,8524","26,8487"
city2C.png,"27,4621","26,546","27,7133","24,5225","25,5439","25,5296","27,7336","26,7879"
city2E.png,"29,382","27,3251","29,3083","28,4378","28,1533","28,1133","29,2983","29,0931"
classroomE.png,"31,7427","29,5326","32,1902","28,064","29,3396","30,9327","32,1258","32,1614"
creatureE.png,"31,7116","27,5801","31,8168","29,0228","29,2976","30,1724","31,7629","31,8129"
deer1C.png,"27,4252","25,0987","27,6968","27,1056","26,4617","26,9914","27,7519","27,1328"
deer1E.png,"22,0532","21,4118","21,9242","21,4528","21,1026","21,5903","21,9551","21,9699"
desert2C.png,"33,1938","30,0958","33,6827","32,0588","31,2071","31,6759","33,6443","33,0713"
desert2E.png,"37,6649","29,9829","37,6165","34,8998","34,6625","35,6967","37,4989","37,1365"
desertC.png,"35,8851","30,7614","35,8142","34,0283","32,0266","34,0847","35,7283","36,1274"
desertE.png,"36,9874","31,7505","37,3276","34,5141","33,7068","34,9785","37,0623","37,3437"
dinoE.png,"25,1369","24,2206","24,7464","24,6108","25,0254","24,2478","24,9188","24,8591"
foxE.png,"24,1897","22,8857","23,8429","23,7647","23,8623","22,5914","23,8189","23,2407"
junkE.png,"32,2876","28,456","32,4388","30,4019","30,5867","30,9902","32,5427","32,5628"
monk2C.png,"30,0846","26,4613","30,6382","29,3174","28,3473","29,2991","30,6222","29,9765"
monk2E.png,"29,6864","27,7446","30,155","28,7172","28,1195","28,5769","30,1463","29,4639"
monkE.png,"31,2024","27,8232","31,5874","29,2827","28,9403","29,9044","31,6884","31,7761"
monsterE.png,"23,7795","22,7083","23,6134","21,8847","22,9654","22,7942","23,6311","23,5658"
pebbles1C.png,"39,7791","32,6602","40,2619","35,2563","34,1758","37,3616","39,8602","38,6284"
pebbles1E.png,"35,5467","31,1327","35,5912","33,7319","33,6609","34,0123","35,4467","34,7859"
pool1C.png,"27,1001","25,4161","26,807","26,6905","26,6819","25,1446","26,9233","27,0497"
pool1E.png,"27,5573","26,5849","27,3599","27,2557","27,0654","25,6162","27,4785","27,791"
pool1nC.png,"33,4436","27,7896","33,578","32,2346","31,0801","32,3806","33,6844","32,8305"
pool1nE.png,"33,5869","27,8035","33,1429","32,4183","31,9699","32,4765","33,3153","32,9168"
pool2C.png,"34,2695","28,1153","34,2311","33,3989","33,1316","32,73","34,1969","34,3075"
pool2E.png,"31,7091","28,8158","31,2119","31,03","31,587","29,9019","31,242","32,2232"
pool2nC.png,"36,6681","31,2794","36,9932","34,4987","32,341","34,677","36,8591","36,4151"
pool2nE.png,"34,5592","27,9941","34,9872","34,1554","31,8369","34,6045","35,2883","34,7388"
pool3C.png,"30,0176","27,816","29,6896","28,7977","28,6139","28,0947","29,8084","29,6017"
pool3E.png,"31,6506","28,9507","31,366","30,6414","29,207","29,5334","31,5496","31,6839"
pool3nC.png,"39,7512","29,426","39,7022","36,0452","34,4437","37,046","39,6691","38,5396"
pool3nE.png,"34,9473","28,1307","34,5821","33,6377","31,9663","33,7949","34,7103","34,2563"
pool4C.png,"23,5115","22,5553","23,45","22,8839","22,9799","21,7835","23,5217","23,838"
pool4E.png,"21,5769","20,9919","21,3201","21,0321","21,0862","20,1141","21,3458","21,8149"
pool4nC.png,"32,7792","27,6803","32,9498","31,5473","30,4577","31,3623","33,0248","32,0246"
pool4nE.png,"37,5471","28,3259","37,5817","34,8994","32,7503","34,6156","37,5741","35,3898"
pool5C.png,"34,098","28,1328","33,6291","30,6513","30,3679","30,8741","33,5917","34,1195"
pool5E.png,"30,202","28,1289","29,7877","27,4457","28,8927","27,7473","29,7268","30,1777"
pool5nC.png,"37,1522","30,3865","37,5755","35,4956","32,8493","35,8431","37,5937","37,1094"
pool5nE.png,"37,5411","29,343","37,4136","35,414","32,9627","35,6137","37,4983","37,1617"
pool6C.png,"41,7702","29,1274","40,6739","38,9335","36,2875","38,3883","40,6962","41,3515"
pool6E.png,"32,4465","30,1317","32,298","32,3173","32,0191","31,7548","32,3057","32,3977"
pool6nC.png,"44,8407","29,0441","44,1567","39,0387","37,8183","41,0977","43,9797","43,1147"
pool6nE.png,"36,1221","28,4482","36,024","34,6585","33,4645","35,6826","36,2197","35,8571"
pool7C.png,"27,9362","26,2584","27,8765","27,6195","27,801","26,641","27,9365","28,3802"
pool7E.png,"27,534","26,3481","27,4691","27,0312","27,2422","26,0676","27,5553","27,9669"
pool7nC.png,"36,2377","28,6039","36,4842","34,8858","33,0088","34,9728","36,5922","35,6625"
pool7nE.png,"37,0743","28,7587","37,3153","35,7612","33,1032","35,7657","37,3791","36,8341"
tramE.png,"21,7523","21,5181","21,758","20,5953","20,1731","19,8231","21,8189","20,9851"
tree1C.png,"31,0491","29,4854","31,026","29,3944","26,1463","29,2942","31,0448","30,3501"
tree1E.png,"32,5543","29,9467","32,2734","29,3892","27,5402","30,3023","32,3555","31,6907"
tug2C.png,"35,1571","28,1309","35,604","34,1534","32,6577","34,4687","35,5573","35,0727"
tug2E.png,"34,3445","28,4124","34,9819","33,7164","31,8333","33,6335","34,7809","34,4553"
tug3C.png,"29,7542","27,0082","30,2553","29,096","28,7234","29,7894","30,2763","29,9202"
tug3E.png,"29,5408","27,1247","30,1607","28,7844","28,2697","29,2198","30,2609","29,7185"
tugE.png,"28,8286","26,1392","28,498","27,9971","27,8304","27,5162","28,6138","28,6457"
ui1C.png,"28,1614","27,2682","28,189","23,7683","22,0442","25,8363","28,2848","27,7386"
wandererFE.png,"35,0095","29,1625","34,8339","33,4087","32,1408","32,2849","34,9854","34,792"
wandererTE.png,"35,6844","29,3751","35,5207","32,8146","32,0166","32,7788","35,4569","35,756"
